#;;;;;;;;;;;;;;x;;;;
PROV2462;San Miguel;San Miguel;San Miguel;;San Miguel;;;;;;;;;x;;;;
PROV2131;Malvinas y San Pedro;Malvinas y San Pedro;Malvinas y San Pedro;;Malvinas y San Pedro;;;;;;;;;x;;;;
PROV2215;Cap Henri;Cap Henri;Cap Henri;;Cap Henri;;;;;;;;;x;;;;
PROV2172;Ciudad de Mexico;Ciudad de Mexico;Ciudad de Mexico;;Ciudad de Mexico;;;;;;;;;x;;;;
PROV2143;Paso del Norte;Paso del Norte;Paso del Norte;;Paso del Norte;;;;;;;;;x;;;;
PROV559;München;München;München;;München;;;;;;;;;x;;;;
PROV619;Wien;Wien;Wien;;Wien;;;;;;;;;x;;;;
PROV633;Pressburg;Pressburg;Pressburg;;Pressburg;;;;;;;;;x;;;;
PROV694;Thorn;Thorn;Thorn;;Thorn;;;;;;;;;x;;;;
PROV698;Memelland;Memelland;Memelland;;Memelland;;;;;;;;;x;;;;
PROV701;Gnesen;Gnesen;Gnesen;;Gnesen;;;;;;;;;x;;;;
PROV768;Laibach;Laibach;Laibach;;Laibach;;;;;;;;;x;;;;
PROV473;Corse;Corse;Corse;;Corse;;;;;;;;;x;;;;
PROV1157;Diriyah;Diriyah;Diriyah;;Diriyah;;;;;;;;;x;;;;
